geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
mmu04940	Type I diabetes mellitus	http://www.kegg.jp/kegg-bin/show_pathway?mmu04940+14972+14964+15015+15039+15018	0.7482402745883756	2.0249665650365904	0.001724137928061831	0.01820037855898767	8	./Project_wg_result1663453357_GSEA/mmu04940.png	5	14972;14964;15015;15039;15018	H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22
mmu05144	Malaria	http://www.kegg.jp/kegg-bin/show_pathway?mmu05144+13349+22329+15894	0.782383572353719	1.9862311810051168	0.003616636521488903	0.019497417031007477	7	./Project_wg_result1663453357_GSEA/mmu05144.png	3	13349;22329;15894	Ackr1;Icam1;Vcam1
mmu04650	Natural killer cell mediated cytotoxicity	http://www.kegg.jp/kegg-bin/show_pathway?mmu04650+14972+15894+14964	0.7143928657422672	1.974309451831737	0.003597122295688629	0.01992869036909843	9	./Project_wg_result1663453357_GSEA/mmu04650.png	3	14972;15894;14964	H2-D1;H2-K1;Icam1
mmu04668	TNF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04668+22329+15894+14825+12977+19225	0.5666428386286665	1.9424904840485009	0.003215434078431778	0.02574950109429191	17	./Project_wg_result1663453357_GSEA/mmu04668.png	5	22329;15894;14825;12977;19225	Csf1;Cxcl1;Icam1;Ptgs2;Vcam1
mmu04657	IL-17 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04657+16819+14825+19225	0.675766502165522	1.9212274903738455	0.005253940446140209	0.02791561511392315	10	./Project_wg_result1663453357_GSEA/mmu04657.png	3	16819;14825;19225	Cxcl1;Lcn2;Ptgs2
mmu04933	AGE-RAGE signaling pathway in diabetic complications	http://www.kegg.jp/kegg-bin/show_pathway?mmu04933+22329+15894+12826+12827+12443	0.568639448420445	1.89754703286581	0.0016806722660829038	0.0327606814061778	17	./Project_wg_result1663453357_GSEA/mmu04933.png	5	22329;15894;12826;12827;12443	Ccnd1;Col4a1;Col4a2;Icam1;Vcam1
mmu05165	Human papillomavirus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05165+14972+14964+12826+12827+12443+15015+19225+15039+22371+15018	0.46002508048565227	1.860197162901434	0.00763358777460521	0.044242056115802876	31	./Project_wg_result1663453357_GSEA/mmu05165.png	10	14972;14964;12826;12827;12443;15015;19225;15039;22371;15018	Ccnd1;Col4a1;Col4a2;H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22;Ptgs2;Vwf
mmu04141	Protein processing in endoplasmic reticulum	http://www.kegg.jp/kegg-bin/show_pathway?mmu04141+71853+14828+20335+18453+66212+14827+12317+13200+12330+22027+20014+20832+269523+22433+67838+66861+81910	0.48338261220345013	1.8419599923246868	0.007800312000311526	0.04677266068879589	27	./Project_wg_result1663453357_GSEA/mmu04141.png	17	71853;14828;20335;18453;66212;14827;12317;13200;12330;22027;20014;20832;269523;22433;67838;66861;81910	Calr;Canx;Ddost;Dnajb11;Dnajc10;Hsp90b1;Hspa5;P4hb;Pdia3;Pdia6;Rpn2;Rrbp1;Sec61b;Sec61g;Ssr4;Vcp;Xbp1
mmu05163	Human cytomegalovirus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05163+14972+14964+12010+14710+12443+15015+19225+15039+14678+15018+21354+14827+12317+12315+21937	0.4538416846337538	1.8464215801581076	0.004694835673404013	0.047028104598395716	34	./Project_wg_result1663453357_GSEA/mmu05163.png	15	14972;14964;12010;14710;12443;15015;19225;15039;14678;15018;21354;14827;12317;12315;21937	B2m;Calm3;Calr;Ccnd1;Gnai2;Gngt2;H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22;Pdia3;Ptgs2;Tap1;Tnfrsf1a
mmu05169	Epstein-Barr virus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05169+14972+15894+14964+22352+12010+12443+15015+15039+15018+21354+14827+12317	0.4243535076416487	1.8282715495010957	0.011869436184169977	0.04960544556215121	41	./Project_wg_result1663453357_GSEA/mmu05169.png	12	14972;15894;14964;22352;12010;12443;15015;15039;15018;21354;14827;12317	B2m;Calr;Ccnd1;H2-D1;H2-K1;H2-Q4;H2-Q7;H2-T22;Icam1;Pdia3;Tap1;Vim
