userId	geneSymbol	geneName	entrezgene	score	gLink
Angpt2	Angpt2	angiopoietin 2	11601	0.377259033	https://www.ncbi.nlm.nih.gov/gene/?term=11601
Angptl4	Angptl4	angiopoietin-like 4	57875	1.059872558	https://www.ncbi.nlm.nih.gov/gene/?term=57875
Ankrd12	Ankrd12	ankyrin repeat domain 12	106585	-0.474510587	https://www.ncbi.nlm.nih.gov/gene/?term=106585
Anxa1	Anxa1	annexin A1	16952	0.601066298	https://www.ncbi.nlm.nih.gov/gene/?term=16952
Anxa2	Anxa2	annexin A2	12306	1.726481439	https://www.ncbi.nlm.nih.gov/gene/?term=12306
Anxa6	Anxa6	annexin A6	11749	0.306455697	https://www.ncbi.nlm.nih.gov/gene/?term=11749
Anxa7	Anxa7	annexin A7	11750	0.351259341	https://www.ncbi.nlm.nih.gov/gene/?term=11750
Ap1s1	Ap1s1	adaptor protein complex AP-1, sigma 1	11769	0.409320001	https://www.ncbi.nlm.nih.gov/gene/?term=11769
Ap2m1	Ap2m1	adaptor-related protein complex 2, mu 1 subunit	11773	0.397335526	https://www.ncbi.nlm.nih.gov/gene/?term=11773
Apbb2	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	11787	0.369416472	https://www.ncbi.nlm.nih.gov/gene/?term=11787
Apln	Apln	apelin	30878	0.876207966	https://www.ncbi.nlm.nih.gov/gene/?term=30878
Aplp2	Aplp2	amyloid beta (A4) precursor-like protein 2	11804	-0.411316937	https://www.ncbi.nlm.nih.gov/gene/?term=11804
Apoe	Apoe	apolipoprotein E	11816	-1.971094894	https://www.ncbi.nlm.nih.gov/gene/?term=11816
Apold1	Apold1	apolipoprotein L domain containing 1	381823	0.392601715	https://www.ncbi.nlm.nih.gov/gene/?term=381823
App	App	amyloid beta (A4) precursor protein	11820	-0.342784533	https://www.ncbi.nlm.nih.gov/gene/?term=11820
Aprt	Aprt	adenine phosphoribosyl transferase	11821	0.53456264	https://www.ncbi.nlm.nih.gov/gene/?term=11821
Arap2	Arap2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	212285	-0.679373524	https://www.ncbi.nlm.nih.gov/gene/?term=212285
Arf1	Arf1	ADP-ribosylation factor 1	11840	0.286706428	https://www.ncbi.nlm.nih.gov/gene/?term=11840
Arf4	Arf4	ADP-ribosylation factor 4	11843	0.25508173	https://www.ncbi.nlm.nih.gov/gene/?term=11843
Arhgap31	Arhgap31	Rho GTPase activating protein 31	12549	-0.70168233	https://www.ncbi.nlm.nih.gov/gene/?term=12549
Arhgdib	Arhgdib	Rho, GDP dissociation inhibitor (GDI) beta	11857	0.491299424	https://www.ncbi.nlm.nih.gov/gene/?term=11857
Arl4d	Arl4d	ADP-ribosylation factor-like 4D	80981	-0.415932095	https://www.ncbi.nlm.nih.gov/gene/?term=80981
Arpc1b	Arpc1b	actin related protein 2/3 complex, subunit 1B	11867	0.868755874	https://www.ncbi.nlm.nih.gov/gene/?term=11867
Arpc2	Arpc2	actin related protein 2/3 complex, subunit 2	76709	0.597846676	https://www.ncbi.nlm.nih.gov/gene/?term=76709
Arpc3	Arpc3	actin related protein 2/3 complex, subunit 3	56378	0.803340284	https://www.ncbi.nlm.nih.gov/gene/?term=56378
Atp10a	Atp10a	ATPase, class V, type 10A	11982	-0.801513609	https://www.ncbi.nlm.nih.gov/gene/?term=11982
Atp1a1	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	11928	0.309481185	https://www.ncbi.nlm.nih.gov/gene/?term=11928
Atp1b3	Atp1b3	ATPase, Na+/K+ transporting, beta 3 polypeptide	11933	0.590243752	https://www.ncbi.nlm.nih.gov/gene/?term=11933
Atp5b	Atp5b	ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit	11947	0.295172665	https://www.ncbi.nlm.nih.gov/gene/?term=11947
Atp5d	Atp5d	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	66043	0.293849728	https://www.ncbi.nlm.nih.gov/gene/?term=66043
Atp5e	Atp5e	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	67126	0.35428973	https://www.ncbi.nlm.nih.gov/gene/?term=67126
Atp5f1	Atp5f1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1	11950	0.251379584	https://www.ncbi.nlm.nih.gov/gene/?term=11950
Atp5g1	Atp5g1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	11951	0.461661934	https://www.ncbi.nlm.nih.gov/gene/?term=11951
Atp5g2	Atp5g2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)	67942	0.280652299	https://www.ncbi.nlm.nih.gov/gene/?term=67942
Atp5g3	Atp5g3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	228033	0.273299317	https://www.ncbi.nlm.nih.gov/gene/?term=228033
Atp5j2	Atp5j2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	57423	0.28399338	https://www.ncbi.nlm.nih.gov/gene/?term=57423
Atp5l	Atp5l	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	27425	0.340703681	https://www.ncbi.nlm.nih.gov/gene/?term=27425
Atp5mpl	Atp5mpl	ATP synthase membrane subunit 6.8PL	70257	0.387020127	https://www.ncbi.nlm.nih.gov/gene/?term=70257
Atp5o	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	28080	0.307762234	https://www.ncbi.nlm.nih.gov/gene/?term=28080
Atp6v0a1	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit A1	11975	-0.50495723	https://www.ncbi.nlm.nih.gov/gene/?term=11975
Atpif1	Atpif1	ATPase inhibitory factor 1	11983	0.280805964	https://www.ncbi.nlm.nih.gov/gene/?term=11983
Atxn10	Atxn10	ataxin 10	54138	0.496060683	https://www.ncbi.nlm.nih.gov/gene/?term=54138
Avpi1	Avpi1	arginine vasopressin-induced 1	69534	0.492403876	https://www.ncbi.nlm.nih.gov/gene/?term=69534
B2m	B2m	beta-2 microglobulin	12010	1.571487793	https://www.ncbi.nlm.nih.gov/gene/?term=12010
B3gnt2	B3gnt2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	53625	-0.773104248	https://www.ncbi.nlm.nih.gov/gene/?term=53625
BC028528	BC028528	cDNA sequence BC028528	229600	0.29648091	https://www.ncbi.nlm.nih.gov/gene/?term=229600
Baiap2	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	108100	-0.469948404	https://www.ncbi.nlm.nih.gov/gene/?term=108100
Bak1	Bak1	BCL2-antagonist/killer 1	12018	0.276998753	https://www.ncbi.nlm.nih.gov/gene/?term=12018
Banf1	Banf1	barrier to autointegration factor 1	23825	0.478927646	https://www.ncbi.nlm.nih.gov/gene/?term=23825
Bcam	Bcam	basal cell adhesion molecule	57278	0.512444064	https://www.ncbi.nlm.nih.gov/gene/?term=57278
Bcl6b	Bcl6b	B cell CLL/lymphoma 6, member B	12029	0.374339089	https://www.ncbi.nlm.nih.gov/gene/?term=12029
Bcr	Bcr	breakpoint cluster region	110279	0.338748633	https://www.ncbi.nlm.nih.gov/gene/?term=110279
Birc3	Birc3	baculoviral IAP repeat-containing 3	11796	0.276015026	https://www.ncbi.nlm.nih.gov/gene/?term=11796
Bmpr2	Bmpr2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	12168	-0.414663087	https://www.ncbi.nlm.nih.gov/gene/?term=12168
Bola2	Bola2	bolA-like 2 (E. coli)	66162	0.300639146	https://www.ncbi.nlm.nih.gov/gene/?term=66162
Bsg	Bsg	basigin	12215	-0.574382916	https://www.ncbi.nlm.nih.gov/gene/?term=12215
Bst2	Bst2	bone marrow stromal cell antigen 2	69550	0.29222203	https://www.ncbi.nlm.nih.gov/gene/?term=69550
Calm1	Calm1	calmodulin 1	12313	0.41752079	https://www.ncbi.nlm.nih.gov/gene/?term=12313
Calm3	Calm3	calmodulin 3	12315	0.600094096	https://www.ncbi.nlm.nih.gov/gene/?term=12315
Calr	Calr	calreticulin	12317	0.602249448	https://www.ncbi.nlm.nih.gov/gene/?term=12317
Calu	Calu	calumenin	12321	0.44976086	https://www.ncbi.nlm.nih.gov/gene/?term=12321
Camk2n1	Camk2n1	calcium/calmodulin-dependent protein kinase II inhibitor 1	66259	-0.828214384	https://www.ncbi.nlm.nih.gov/gene/?term=66259
Canx	Canx	calnexin	12330	0.524088633	https://www.ncbi.nlm.nih.gov/gene/?term=12330
Cap1	Cap1	CAP, adenylate cyclase-associated protein 1 (yeast)	12331	0.282939479	https://www.ncbi.nlm.nih.gov/gene/?term=12331
Capg	Capg	capping protein (actin filament), gelsolin-like	12332	2.085193434	https://www.ncbi.nlm.nih.gov/gene/?term=12332
Capzb	Capzb	capping protein (actin filament) muscle Z-line, beta	12345	0.398039985	https://www.ncbi.nlm.nih.gov/gene/?term=12345
Car4	Car4	carbonic anhydrase 4	12351	-2.043594254	https://www.ncbi.nlm.nih.gov/gene/?term=12351
Card19	Card19	caspase recruitment domain family, member 19	68480	0.355765855	https://www.ncbi.nlm.nih.gov/gene/?term=68480
Carhsp1	Carhsp1	calcium regulated heat stable protein 1	52502	0.282068129	https://www.ncbi.nlm.nih.gov/gene/?term=52502
Castor1	Castor1	cytosolic arginine sensor for mTORC1 subunit 1	71962	-0.450099029	https://www.ncbi.nlm.nih.gov/gene/?term=71962
Cav2	Cav2	caveolin 2	12390	-0.30027413	https://www.ncbi.nlm.nih.gov/gene/?term=12390
Cavin2	Cavin2	caveolae associated 2	20324	-0.634014848	https://www.ncbi.nlm.nih.gov/gene/?term=20324
Cavin3	Cavin3	caveolae associated 3	109042	0.772931174	https://www.ncbi.nlm.nih.gov/gene/?term=109042
Cbfa2t3	Cbfa2t3	CBFA2/RUNX1 translocation partner 3	12398	-0.481853688	https://www.ncbi.nlm.nih.gov/gene/?term=12398
Cbx7	Cbx7	chromobox 7	52609	-0.353932278	https://www.ncbi.nlm.nih.gov/gene/?term=52609
Ccdc85b	Ccdc85b	coiled-coil domain containing 85B	240514	-0.252267733	https://www.ncbi.nlm.nih.gov/gene/?term=240514
Ccn1	Ccn1	NA	16007	0.368436673	https://www.ncbi.nlm.nih.gov/gene/?term=16007
Ccn2	Ccn2	NA	14219	-0.354356496	https://www.ncbi.nlm.nih.gov/gene/?term=14219
Ccnd1	Ccnd1	cyclin D1	12443	1.229107203	https://www.ncbi.nlm.nih.gov/gene/?term=12443
Cd14	Cd14	CD14 antigen	12475	1.196955395	https://www.ncbi.nlm.nih.gov/gene/?term=12475
Cd200	Cd200	CD200 antigen	17470	0.950465464	https://www.ncbi.nlm.nih.gov/gene/?term=17470
Cd2ap	Cd2ap	CD2-associated protein	12488	-0.627963692	https://www.ncbi.nlm.nih.gov/gene/?term=12488
Cd34	Cd34	CD34 antigen	12490	0.535134521	https://www.ncbi.nlm.nih.gov/gene/?term=12490
Cd3eap	Cd3eap	CD3E antigen, epsilon polypeptide associated protein	70333	0.409959921	https://www.ncbi.nlm.nih.gov/gene/?term=70333
Cd82	Cd82	CD82 antigen	12521	1.266130247	https://www.ncbi.nlm.nih.gov/gene/?term=12521
Cd83	Cd83	CD83 antigen	12522	-0.428210467	https://www.ncbi.nlm.nih.gov/gene/?term=12522
Cd9	Cd9	CD9 antigen	12527	0.993151211	https://www.ncbi.nlm.nih.gov/gene/?term=12527
Cd93	Cd93	CD93 antigen	17064	1.147845642	https://www.ncbi.nlm.nih.gov/gene/?term=17064
Cdc42	Cdc42	cell division cycle 42	12540	0.300022953	https://www.ncbi.nlm.nih.gov/gene/?term=12540
Cdh13	Cdh13	cadherin 13	12554	0.778879375	https://www.ncbi.nlm.nih.gov/gene/?term=12554
Cdkn1b	Cdkn1b	cyclin-dependent kinase inhibitor 1B	12576	-0.492472539	https://www.ncbi.nlm.nih.gov/gene/?term=12576
Cdkn1c	Cdkn1c	cyclin-dependent kinase inhibitor 1C (P57)	12577	-1.158635555	https://www.ncbi.nlm.nih.gov/gene/?term=12577
Cdkn2b	Cdkn2b	cyclin dependent kinase inhibitor 2B	12579	-0.679501633	https://www.ncbi.nlm.nih.gov/gene/?term=12579
Cebpb	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	12608	0.346150196	https://www.ncbi.nlm.nih.gov/gene/?term=12608
Cebpd	Cebpd	CCAAT/enhancer binding protein (C/EBP), delta	12609	1.262204715	https://www.ncbi.nlm.nih.gov/gene/?term=12609
Cenpb	Cenpb	centromere protein B	12616	0.343678019	https://www.ncbi.nlm.nih.gov/gene/?term=12616
Cetn3	Cetn3	centrin 3	12626	0.264201268	https://www.ncbi.nlm.nih.gov/gene/?term=12626
Cfl1	Cfl1	cofilin 1, non-muscle	12631	0.66212975	https://www.ncbi.nlm.nih.gov/gene/?term=12631
Cgnl1	Cgnl1	cingulin-like 1	68178	0.443824183	https://www.ncbi.nlm.nih.gov/gene/?term=68178
Ch25h	Ch25h	cholesterol 25-hydroxylase	12642	1.686391942	https://www.ncbi.nlm.nih.gov/gene/?term=12642
Chmp4b	Chmp4b	charged multivesicular body protein 4B	75608	0.591101724	https://www.ncbi.nlm.nih.gov/gene/?term=75608
Chrnb1	Chrnb1	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)	11443	0.325817198	https://www.ncbi.nlm.nih.gov/gene/?term=11443
Chst1	Chst1	carbohydrate sulfotransferase 1	76969	0.305356603	https://www.ncbi.nlm.nih.gov/gene/?term=76969
Ckap4	Ckap4	cytoskeleton-associated protein 4	216197	0.308108576	https://www.ncbi.nlm.nih.gov/gene/?term=216197
Clec2d	Clec2d	C-type lectin domain family 2, member d	93694	-1.226125648	https://www.ncbi.nlm.nih.gov/gene/?term=93694
Clic1	Clic1	chloride intracellular channel 1	114584	0.927269441	https://www.ncbi.nlm.nih.gov/gene/?term=114584
Clic5	Clic5	chloride intracellular channel 5	224796	-0.48038016100000003	https://www.ncbi.nlm.nih.gov/gene/?term=224796
Clk1	Clk1	CDC-like kinase 1	12747	-0.47658267	https://www.ncbi.nlm.nih.gov/gene/?term=12747
Clstn1	Clstn1	calsyntenin 1	65945	-0.505279556	https://www.ncbi.nlm.nih.gov/gene/?term=65945
Cltb	Cltb	clathrin, light polypeptide (Lcb)	74325	0.360000057	https://www.ncbi.nlm.nih.gov/gene/?term=74325
Cmpk1	Cmpk1	cytidine monophosphate (UMP-CMP) kinase 1	66588	0.388242621	https://www.ncbi.nlm.nih.gov/gene/?term=66588
Cmtm8	Cmtm8	CKLF-like MARVEL transmembrane domain containing 8	70031	-0.731033953	https://www.ncbi.nlm.nih.gov/gene/?term=70031
Cnbp	Cnbp	cellular nucleic acid binding protein	12785	-0.303757935	https://www.ncbi.nlm.nih.gov/gene/?term=12785
Cnn3	Cnn3	calponin 3, acidic	71994	0.307523674	https://www.ncbi.nlm.nih.gov/gene/?term=71994
Col4a1	Col4a1	collagen, type IV, alpha 1	12826	1.475528751	https://www.ncbi.nlm.nih.gov/gene/?term=12826
Col4a2	Col4a2	collagen, type IV, alpha 2	12827	1.269483956	https://www.ncbi.nlm.nih.gov/gene/?term=12827
Col4a3bp	Col4a3bp	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	68018	-0.437841022	https://www.ncbi.nlm.nih.gov/gene/?term=68018
Colgalt1	Colgalt1	collagen beta(1-O)galactosyltransferase 1	234407	0.391560604	https://www.ncbi.nlm.nih.gov/gene/?term=234407
Copb2	Copb2	coatomer protein complex, subunit beta 2 (beta prime)	50797	0.261379939	https://www.ncbi.nlm.nih.gov/gene/?term=50797
Cope	Cope	coatomer protein complex, subunit epsilon	59042	0.298103462	https://www.ncbi.nlm.nih.gov/gene/?term=59042
Cops6	Cops6	COP9 signalosome subunit 6	26893	0.284417058	https://www.ncbi.nlm.nih.gov/gene/?term=26893
Coro1c	Coro1c	coronin, actin binding protein 1C	23790	0.366344932	https://www.ncbi.nlm.nih.gov/gene/?term=23790
Cox5a	Cox5a	cytochrome c oxidase subunit 5A	12858	0.371857483	https://www.ncbi.nlm.nih.gov/gene/?term=12858
Cox5b	Cox5b	cytochrome c oxidase subunit 5B	12859	0.293858909	https://www.ncbi.nlm.nih.gov/gene/?term=12859
Cox6b1	Cox6b1	cytochrome c oxidase, subunit 6B1	110323	0.362597716	https://www.ncbi.nlm.nih.gov/gene/?term=110323
Cox7b	Cox7b	cytochrome c oxidase subunit 7B	66142	0.391396074	https://www.ncbi.nlm.nih.gov/gene/?term=66142
Cpe	Cpe	carboxypeptidase E	12876	0.268097915	https://www.ncbi.nlm.nih.gov/gene/?term=12876
Cr1l	Cr1l	complement component (3b/4b) receptor 1-like	12946	0.275098936	https://www.ncbi.nlm.nih.gov/gene/?term=12946
Crebrf	Crebrf	CREB3 regulatory factor	77128	-0.397391195	https://www.ncbi.nlm.nih.gov/gene/?term=77128
Crip1	Crip1	cysteine-rich protein 1 (intestinal)	12925	0.336531277	https://www.ncbi.nlm.nih.gov/gene/?term=12925
Crip2	Crip2	cysteine rich protein 2	68337	-0.383166143	https://www.ncbi.nlm.nih.gov/gene/?term=68337
Crispld1	Crispld1	cysteine-rich secretory protein LCCL domain containing 1	83691	-0.355987938	https://www.ncbi.nlm.nih.gov/gene/?term=83691
Crlf2	Crlf2	cytokine receptor-like factor 2	57914	0.794720423	https://www.ncbi.nlm.nih.gov/gene/?term=57914
Csf1	Csf1	colony stimulating factor 1 (macrophage)	12977	1.240590309	https://www.ncbi.nlm.nih.gov/gene/?term=12977
Csrp1	Csrp1	cysteine and glycine-rich protein 1	13007	0.766211117	https://www.ncbi.nlm.nih.gov/gene/?term=13007
Csrp2	Csrp2	cysteine and glycine-rich protein 2	13008	-0.514646541	https://www.ncbi.nlm.nih.gov/gene/?term=13008
Cst3	Cst3	cystatin C	13010	-0.896135123	https://www.ncbi.nlm.nih.gov/gene/?term=13010
Ctdnep1	Ctdnep1	CTD nuclear envelope phosphatase 1	67181	0.310702142	https://www.ncbi.nlm.nih.gov/gene/?term=67181
Ctla2a	Ctla2a	cytotoxic T lymphocyte-associated protein 2 alpha	13024	2.37479626	https://www.ncbi.nlm.nih.gov/gene/?term=13024
Ctla2b	Ctla2b	cytotoxic T lymphocyte-associated protein 2 beta	13025	0.956716116	https://www.ncbi.nlm.nih.gov/gene/?term=13025
Ctnnb1	Ctnnb1	catenin (cadherin associated protein), beta 1	12387	-0.630054266	https://www.ncbi.nlm.nih.gov/gene/?term=12387
Ctps	Ctps	cytidine 5'-triphosphate synthase	51797	0.545104821	https://www.ncbi.nlm.nih.gov/gene/?term=51797
Ctsa	Ctsa	cathepsin A	19025	0.553011379	https://www.ncbi.nlm.nih.gov/gene/?term=19025
Ctsb	Ctsb	cathepsin B	13030	0.400348539	https://www.ncbi.nlm.nih.gov/gene/?term=13030
Cux1	Cux1	cut-like homeobox 1	13047	0.308830966	https://www.ncbi.nlm.nih.gov/gene/?term=13047
Cx3cl1	Cx3cl1	chemokine (C-X3-C motif) ligand 1	20312	0.506525508	https://www.ncbi.nlm.nih.gov/gene/?term=20312
Cxcl1	Cxcl1	chemokine (C-X-C motif) ligand 1	14825	1.610581349	https://www.ncbi.nlm.nih.gov/gene/?term=14825
Cxcl12	Cxcl12	chemokine (C-X-C motif) ligand 12	20315	-2.474224086	https://www.ncbi.nlm.nih.gov/gene/?term=20315
Cxcl16	Cxcl16	chemokine (C-X-C motif) ligand 16	66102	0.38539457	https://www.ncbi.nlm.nih.gov/gene/?term=66102
Cyb5r3	Cyb5r3	cytochrome b5 reductase 3	109754	0.503479154	https://www.ncbi.nlm.nih.gov/gene/?term=109754
Cyba	Cyba	cytochrome b-245, alpha polypeptide	13057	0.528469188	https://www.ncbi.nlm.nih.gov/gene/?term=13057
Cycs	Cycs	cytochrome c, somatic	13063	0.352889743	https://www.ncbi.nlm.nih.gov/gene/?term=13063
Cyp2d22	Cyp2d22	cytochrome P450, family 2, subfamily d, polypeptide 22	56448	-0.681993555	https://www.ncbi.nlm.nih.gov/gene/?term=56448
Cyyr1	Cyyr1	cysteine and tyrosine-rich protein 1	224405	-0.352484615	https://www.ncbi.nlm.nih.gov/gene/?term=224405
D730003I15Rik	D730003I15Rik	RIKEN cDNA D730003I15 gene	100504360	-0.314911904	https://www.ncbi.nlm.nih.gov/gene/?term=100504360
Dab2ip	Dab2ip	disabled 2 interacting protein	69601	-0.625734934	https://www.ncbi.nlm.nih.gov/gene/?term=69601
Dad1	Dad1	defender against cell death 1	13135	0.361004849	https://www.ncbi.nlm.nih.gov/gene/?term=13135
Dap	Dap	death-associated protein	223453	0.256312095	https://www.ncbi.nlm.nih.gov/gene/?term=223453
Dbi	Dbi	diazepam binding inhibitor	13167	0.405433435	https://www.ncbi.nlm.nih.gov/gene/?term=13167
Dbp	Dbp	D site albumin promoter binding protein	13170	-0.540975997	https://www.ncbi.nlm.nih.gov/gene/?term=13170
Ddah1	Ddah1	dimethylarginine dimethylaminohydrolase 1	69219	0.403653508	https://www.ncbi.nlm.nih.gov/gene/?term=69219
Ddc	Ddc	dopa decarboxylase	13195	-0.78988712	https://www.ncbi.nlm.nih.gov/gene/?term=13195
Ddost	Ddost	dolichyl-di-phosphooligosaccharide-protein glycotransferase	13200	0.526869923	https://www.ncbi.nlm.nih.gov/gene/?term=13200
Ddx39	Ddx39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	68278	0.321843704	https://www.ncbi.nlm.nih.gov/gene/?term=68278
Ddx5	Ddx5	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	13207	-0.389197617	https://www.ncbi.nlm.nih.gov/gene/?term=13207
Degs2	Degs2	delta(4)-desaturase, sphingolipid 2	70059	-0.474675258	https://www.ncbi.nlm.nih.gov/gene/?term=70059
Dlc1	Dlc1	deleted in liver cancer 1	50768	-0.480405265	https://www.ncbi.nlm.nih.gov/gene/?term=50768
Dnajb11	Dnajb11	DnaJ heat shock protein family (Hsp40) member B11	67838	0.451720397	https://www.ncbi.nlm.nih.gov/gene/?term=67838
Dnajc10	Dnajc10	DnaJ heat shock protein family (Hsp40) member C10	66861	0.444301715	https://www.ncbi.nlm.nih.gov/gene/?term=66861
Dnm2	Dnm2	dynamin 2	13430	-0.429718156	https://www.ncbi.nlm.nih.gov/gene/?term=13430
Dnm3	Dnm3	dynamin 3	103967	-0.523674276	https://www.ncbi.nlm.nih.gov/gene/?term=103967
Dstn	Dstn	destrin	56431	0.404406135	https://www.ncbi.nlm.nih.gov/gene/?term=56431
Dusp7	Dusp7	dual specificity phosphatase 7	235584	-0.43887161	https://www.ncbi.nlm.nih.gov/gene/?term=235584
